Real GDP growth (Annual percent change),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Nauru,no data,no data,no data,no data,no data,-0.4,8.3,-22.2,20.4,9.1,11.1,10.8,10.4,31,27.2,3.4,3,-5.5,5.7,1,0.7
Nepal,6.1,5.6,0.1,3.9,4.7,3.5,3.4,3.4,6.1,4.5,4.8,3.4,4.8,4.1,6,3.3,0.6,8.2,6.7,7.1,0
Netherlands,4.2,2.3,0.2,0.2,2,2,3.5,3.8,2.2,-3.7,1.3,1.5,-1,-0.1,1.4,2,2.2,2.9,2.4,1.7,-5.4
New Zealand,4.1,2.2,5.1,4.6,4.4,2.6,2.7,4,-0.4,0.3,2,1.9,2.5,2.2,3.2,4.1,4.2,3.8,3.2,2.2,-6.1
Nicaragua,4.1,3,0.8,2.5,5.3,4.3,3.8,5.1,3.4,-3.3,4.4,6.3,6.5,4.9,4.8,4.8,4.6,4.6,-4,-3.9,-5.5
Niger,-1.2,7.3,4.9,2.2,0.4,7.3,5.9,3.1,7.7,2,8.6,2.4,10.5,5.3,6.6,4.4,5.7,5,7.2,5.9,0.5
Nigeria,5.5,6.7,14.6,9.5,10.4,7,6.7,7.3,7.2,8.4,11.3,4.9,4.3,5.4,6.3,2.7,-1.6,0.8,1.9,2.2,-4.3
North Macedonia ,4.5,-3.1,1.5,2.2,4.7,4.7,5.1,6.5,5.5,-0.4,3.4,2.3,-0.5,2.9,3.6,3.9,2.8,1.1,2.7,3.6,-5.4
Norway,3.2,2.1,1.4,0.9,4,2.6,2.4,3,0.5,-1.7,0.7,1,2.7,1,2,2,1.1,2.3,1.3,1.2,-2.8
Oman,6.5,4.5,-1.1,-2.7,1.3,2.5,5.4,4.5,8.2,6.1,2,2.6,9.1,5.1,1.4,4.7,4.9,0.3,0.9,-0.8,-10
Pakistan,3.9,2,3.1,4.7,7.5,9,5.8,5.5,5,0.4,2.6,3.6,3.8,3.7,4.1,4.1,4.6,5.2,5.5,1.9,-0.4
Palau,no data,6.4,3.6,-3.3,4.9,4,-0.4,1,-5.4,-5.9,0.1,5.1,1.6,-1.7,6,5,-0.4,-2,5.8,-1.8,-11.4
Panama,2.7,0.6,2.2,4.2,7.5,7.2,8.5,12.1,9.9,1.2,5.8,11.3,9.8,6.9,5.1,5.7,5,5.6,3.7,3,-9
Papua New Guinea,-2.5,-0.1,-0.2,9,0.6,4.3,2.5,7.8,-0.3,6.8,10.1,1.1,4.7,3.8,13.5,9.5,4.1,3.5,-0.8,4.9,-3.3
Paraguay,-2.3,-0.8,0,4.3,4.1,2.1,4.8,5.4,6.4,-0.3,11.1,4.2,-0.5,8.4,4.9,3.1,4.3,5,3.4,0,-4
Peru,2.7,0.6,5.5,4.2,5,6.3,7.5,8.5,9.1,1,8.5,6.5,6,5.8,2.4,3.3,4.1,2.5,4,2.2,-13.9
Philippines,3.9,3,3.7,5.1,6.6,4.9,5.3,6.5,4.3,1.4,7.3,3.9,6.9,6.8,6.3,6.3,7.1,6.9,6.3,6,-8.3
Poland,4.3,1.2,1.4,3.6,5.1,3.5,6.2,7,4.2,2.8,3.6,5,1.6,1.4,3.3,3.8,3.1,4.9,5.3,4.1,-3.6
